Date,Open,High,Low,Close*,Adj Close**,Volume
2-May-23,"34,017.62","34,017.75","33,436.66","33,668.77","33,668.77","202,753,450"
1-May-23,"34,116.81","34,257.83","34,030.14","34,051.70","34,051.70","244,190,000"
28-Apr-23,"33,797.43","34,104.56","33,728.40","34,098.16","34,098.16","354,310,000"
27-Apr-23,"33,381.66","33,859.75","33,374.65","33,826.16","33,826.16","343,240,000"
26-Apr-23,"33,596.34","33,645.83","33,235.85","33,301.87","33,301.87","321,170,000"
25-Apr-23,"33,828.34","33,875.49","33,525.39","33,530.83","33,530.83","297,880,000"
24-Apr-23,"33,805.04","33,891.15","33,726.09","33,875.40","33,875.40","252,020,000"
21-Apr-23,"33,793.60","33,858.83","33,688.57","33,808.96","33,808.96","291,080,000"
20-Apr-23,"33,740.60","33,875.39","33,677.74","33,786.62","33,786.62","307,910,000"
19-Apr-23,"33,889.83","33,957.98","33,814.65","33,897.01","33,897.01","251,490,000"
18-Apr-23,"33,965.16","34,018.62","33,791.89","33,976.63","33,976.63","253,570,000"
17-Apr-23,"33,930.46","33,991.23","33,796.91","33,987.18","33,987.18","234,530,000"
14-Apr-23,"33,981.71","34,082.94","33,730.85","33,886.47","33,886.47","276,720,000"
13-Apr-23,"33,668.97","34,054.99","33,605.17","34,029.69","34,029.69","277,230,000"
12-Apr-23,"33,764.21","33,895.43","33,593.32","33,646.50","33,646.50","260,300,000"
11-Apr-23,"33,586.75","33,781.29","33,586.75","33,684.79","33,684.79","241,430,000"
10-Apr-23,"33,425.25","33,590.24","33,343.43","33,586.52","33,586.52","232,920,000"
6-Apr-23,"33,420.96","33,525.96","33,325.37","33,485.29","33,485.29","258,680,000"
5-Apr-23,"33,394.60","33,543.84","33,376.27","33,482.72","33,482.72","286,660,000"
4-Apr-23,"33,594.79","33,634.72","33,275.62","33,402.38","33,402.38","283,360,000"
3-Apr-23,"33,245.78","33,632.90","33,245.78","33,601.15","33,601.15","311,890,000"
31-Mar-23,"32,901.96","33,291.00","32,901.96","33,274.15","33,274.15","353,740,000"
30-Mar-23,"32,807.43","32,905.80","32,682.87","32,859.03","32,859.03","283,380,000"
29-Mar-23,"32,566.54","32,728.04","32,539.94","32,717.60","32,717.60","314,110,000"
28-Mar-23,"32,434.85","32,551.01","32,295.50","32,394.25","32,394.25","248,560,000"
27-Mar-23,"32,276.72","32,564.00","32,276.72","32,432.08","32,432.08","291,560,000"
24-Mar-23,"32,038.22","32,257.24","31,805.18","32,237.53","32,237.53","317,070,000"
23-Mar-23,"32,101.49","32,511.49","31,864.74","32,105.25","32,105.25","335,430,000"
22-Mar-23,"32,570.19","32,761.89","32,020.46","32,030.11","32,030.11","325,990,000"
21-Mar-23,"32,420.71","32,593.68","32,346.12","32,560.60","32,560.60","363,190,000"
20-Mar-23,"31,872.33","32,280.07","31,872.33","32,244.58","32,244.58","357,210,000"
17-Mar-23,"32,217.32","32,217.32","31,728.70","31,861.98","31,861.98","712,100,000"
16-Mar-23,"31,827.65","32,281.61","31,571.46","32,246.55","32,246.55","440,940,000"
15-Mar-23,"31,759.87","31,906.47","31,429.82","31,874.57","31,874.57","420,910,000"
14-Mar-23,"32,055.29","32,306.59","31,805.40","32,155.40","32,155.40","391,760,000"
13-Mar-23,"31,819.93","32,240.35","31,624.87","31,819.14","31,819.14","429,090,000"
10-Mar-23,"32,185.14","32,422.10","31,783.41","31,909.64","31,909.64","397,790,000"
9-Mar-23,"32,876.83","32,990.46","32,190.60","32,254.86","32,254.86","315,860,000"
