Date,Closing Price,Volume
2020-04-30,73.44999694824219,183064000
2020-05-01,72.26750183105469,240616800
2020-05-04,73.29000091552734,133568000
2020-05-05,74.38999938964844,147751200
2020-05-06,75.15750122070312,142333600
2020-05-07,75.93499755859375,115215200
2020-05-08,77.53250122070312,133838400
2020-05-11,78.75250244140625,145946400
2020-05-12,77.85250091552734,162301200
2020-05-13,76.9124984741211,200622400
2020-05-14,77.38500213623047,158929200
2020-05-15,76.92749786376953,166348400
2020-05-18,78.73999786376953,135178400
2020-05-19,78.28500366210938,101729600
2020-05-20,79.80750274658203,111504800
2020-05-21,79.2125015258789,102688800
2020-05-22,79.72250366210938,81803200
2020-05-26,79.18250274658203,125522000
2020-05-27,79.52749633789062,112945200
2020-05-28,79.5625,133560800
2020-05-29,79.48500061035156,153532400
2020-06-01,80.4625015258789,80791200
2020-06-02,80.83499908447266,87642800
2020-06-03,81.27999877929688,104491200
2020-06-04,80.58000183105469,87560400
2020-06-05,82.875,137250400
2020-06-08,83.36499786376953,95654400
2020-06-09,85.99749755859375,147712400
2020-06-10,88.20999908447266,166651600
2020-06-11,83.9749984741211,201662400
2020-06-12,84.69999694824219,200146000
2020-06-15,85.74749755859375,138808800
2020-06-16,88.0199966430664,165428800
2020-06-17,87.89749908447266,114406400
2020-06-18,87.93250274658203,96820400
2020-06-19,87.43000030517578,264476000
2020-06-22,89.71749877929688,135445200
2020-06-23,91.63249969482422,212155600
2020-06-24,90.01499938964844,192623200
2020-06-25,91.20999908447266,137522400
2020-06-26,88.40750122070312,205256800
2020-06-29,90.44499969482422,130646000
2020-06-30,91.19999694824219,140223200
2020-07-01,91.02749633789062,110737200
2020-07-02,91.02749633789062,114041600
2020-07-06,93.4625015258789,118655600
2020-07-07,93.17250061035156,112424400
2020-07-08,95.34249877929688,117092000
2020-07-09,95.75250244140625,125642800
2020-07-10,95.91999816894531,90257200
2020-07-13,95.47750091552734,191649200
2020-07-14,97.05750274658203,170989200
2020-07-15,97.7249984741211,153198000
2020-07-16,96.52249908447266,110577600
2020-07-17,96.32749938964844,92186800
2020-07-20,98.35749816894531,90318000
2020-07-21,97.0,103433200
2020-07-22,97.27249908447266,89001600
2020-07-23,92.84500122070312,197004400
2020-07-24,92.61499786376953,185438800
2020-07-27,94.80999755859375,121214000
2020-07-28,93.25250244140625,103625600
2020-07-29,95.04000091552734,90329200
2020-07-30,96.19000244140625,158130000
2020-07-31,106.26000213623047,374336800
2020-08-03,108.9375,308151200
2020-08-04,109.66500091552734,173071600
2020-08-05,110.0625,121776800
2020-08-06,113.90249633789062,202428800
2020-08-07,111.11250305175781,198045600
2020-08-10,112.72750091552734,212403600
2020-08-11,109.375,187902400
2020-08-12,113.01000213623047,165598000
2020-08-13,115.01000213623047,210082000
2020-08-14,114.90750122070312,165565200
2020-08-17,114.60749816894531,119561600
2020-08-18,115.5625,105633600
2020-08-19,115.7074966430664,145538000
2020-08-20,118.2750015258789,126907200
2020-08-21,124.37000274658203,338054800
2020-08-24,125.85749816894531,345937600
2020-08-25,124.82499694824219,211495600
2020-08-26,126.52249908447266,163022400
2020-08-27,125.01000213623047,155552400
2020-08-28,124.80750274658203,187630000
2020-08-31,129.0399932861328,225702700
2020-09-01,134.17999267578125,151948100
2020-09-02,131.39999389648438,200119000
2020-09-03,120.87999725341797,257599600
2020-09-04,120.95999908447266,332607200
2020-09-08,112.81999969482422,231366600
2020-09-09,117.31999969482422,176940500
2020-09-10,113.48999786376953,182274400
2020-09-11,112.0,180860300
2020-09-14,115.36000061035156,140150100
2020-09-15,115.54000091552734,184642000
2020-09-16,112.12999725341797,154679000
2020-09-17,110.33999633789062,178011000
2020-09-18,106.83999633789062,287104900
2020-09-21,110.08000183105469,195713800
2020-09-22,111.80999755859375,183055400
2020-09-23,107.12000274658203,150718700
2020-09-24,108.22000122070312,167743300
2020-09-25,112.27999877929688,149981400
2020-09-28,114.95999908447266,137672400
2020-09-29,114.08999633789062,99382200
2020-09-30,115.80999755859375,142675200
2020-10-01,116.79000091552734,116120400
2020-10-02,113.0199966430664,144712000
2020-10-05,116.5,106243800
2020-10-06,113.16000366210938,161498200
2020-10-07,115.08000183105469,96849000
2020-10-08,114.97000122070312,83477200
2020-10-09,116.97000122070312,100506900
2020-10-12,124.4000015258789,240226800
2020-10-13,121.0999984741211,262330500
